filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,onset_strength,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK0.wav,0.4530230760574341,0.0849604532122612,2047.270194013499,2248.582219524395,4300.072998046875,0.096552734375,1.870903730392456,-148.88449096679688,111.67845916748047,-14.062422752380371,25.363378524780273,5.463603973388672,4.677211761474609,8.61126708984375,5.369925498962402,1.8085284233093262,16.314741134643555,-12.048784255981445,5.433444976806641,0.36947372555732727,-0.8608953952789307,-7.689250469207764,-2.602243423461914,-0.4583950340747833,1.484676718711853,-4.950036525726318,10.51817512512207,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK1.wav,0.4361143708229065,0.09202956408262253,2295.5280131941495,2469.9066592568815,4854.378413228155,0.10792911862864078,1.4957976341247559,-124.86750793457031,106.38130187988281,-2.757448434829712,27.29189682006836,9.220807075500488,1.7079331874847412,8.801275253295898,1.8999314308166504,-1.6767607927322388,14.967620849609375,-11.709053993225098,5.318493366241455,3.553337335586548,4.48490571975708,-5.043188571929932,-0.8774576783180237,-0.8961147665977478,-3.111621856689453,-7.099207401275635,0.8229939937591553,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK10.wav,0.383860319852829,0.09891273826360703,1912.645159894093,1981.0704110639779,3631.93359375,0.10063032670454546,1.6980229616165161,-185.34071350097656,132.3202362060547,3.2648158073425293,24.954910278320312,4.616816997528076,1.6904006004333496,-7.505265712738037,-5.009211540222168,-0.5722686052322388,-0.15669995546340942,-5.0037970542907715,14.432321548461914,-5.966167449951172,5.999139308929443,-5.488648891448975,-2.83909010887146,-3.341062307357788,4.239626884460449,-9.055425643920898,-0.19701482355594635,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK11.wav,0.3814927935600281,0.097257100045681,1385.2807967093547,1679.3351040135792,2658.351622905928,0.06073312661082474,1.7900222539901733,-198.48330688476562,157.81002807617188,-2.8448617458343506,22.881511688232422,-10.14380931854248,-10.888113975524902,-4.663674354553223,-9.981582641601562,1.9735256433486938,3.41778826713562,-6.244572162628174,17.240236282348633,-7.49084997177124,0.7705838084220886,0.7275989055633545,-5.752075672149658,-7.477555274963379,1.4990648031234741,-3.8346943855285645,-5.322756290435791,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK12.wav,0.3635358214378357,0.12186477333307266,1826.2064850359823,2214.206499683929,3473.697176846591,0.07628728693181819,1.9359073638916016,-156.24879455566406,145.69007873535156,6.696798324584961,-6.6832194328308105,21.944822311401367,-5.56903076171875,-7.966165065765381,5.401026725769043,-12.462701797485352,10.262710571289062,-0.3819928467273712,-2.310145616531372,-5.9165120124816895,-0.6279955506324768,-13.660542488098145,4.5884809494018555,-12.477497100830078,4.635101795196533,-0.9489224553108215,1.275578260421753,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK13.wav,0.41652774810791016,0.09683931618928909,1356.6336900900621,1864.8366352781215,2573.2177734375,0.05193160752118644,1.5133296251296997,-201.0478057861328,157.1270751953125,2.6891324520111084,21.569828033447266,38.78231430053711,-17.225996017456055,-14.497227668762207,1.6068447828292847,-4.075313568115234,-1.6756861209869385,-12.631897926330566,1.0759220123291016,-4.361654281616211,4.068475723266602,-8.24911117553711,3.8141062259674072,-4.60373067855835,0.45436057448387146,-3.684645891189575,3.142355442047119,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK14.wav,0.43028518557548523,0.08474887907505035,2065.3245420430276,2081.037767609346,3727.8314634811045,0.12362599927325581,1.6212292909622192,-193.9913330078125,132.02577209472656,-0.8594456911087036,8.518601417541504,22.682374954223633,-10.30660629272461,-8.31707763671875,2.8239262104034424,-3.625715494155884,8.02788257598877,-8.435484886169434,-1.397969365119934,-2.1546640396118164,5.011489391326904,-5.206005573272705,-0.3065180778503418,-6.282464981079102,7.430238246917725,-4.604501724243164,-0.4737137258052826,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK15.wav,0.48738741874694824,0.09463667124509811,1813.519541751201,2050.346014564329,3287.2392134232955,0.09016335227272727,1.5934375524520874,-170.14808654785156,145.48367309570312,4.7884297370910645,9.335996627807617,21.8906192779541,-9.911601066589355,-6.047867298126221,0.18914394080638885,-3.0694632530212402,15.940159797668457,-4.075109958648682,3.6318471431732178,-2.2888906002044678,4.170722484588623,-6.618191242218018,2.8023838996887207,-9.767423629760742,1.6989020109176636,-1.7688146829605103,2.4366025924682617,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK16.wav,0.424287885427475,0.12586709856987,1990.0215961367628,2330.3391277958376,4184.984885051752,0.07566182324840764,1.6605721712112427,-128.87442016601562,114.05558013916016,9.024680137634277,21.833881378173828,8.503618240356445,6.912928104400635,-8.886515617370605,-3.8438456058502197,1.753644585609436,7.737782001495361,-5.701723575592041,12.693453788757324,-3.2806148529052734,2.3096609115600586,0.9390276074409485,-0.1003211960196495,-2.044379711151123,5.036067485809326,-6.1575517654418945,-0.767910897731781,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK17.wav,0.38251808285713196,0.12896433472633362,2059.4343025851717,2397.5751837590537,4340.060654127529,0.07815040191473989,1.8066258430480957,-139.22384643554688,113.3452377319336,17.98383903503418,14.815889358520508,3.5948634147644043,7.072517395019531,-5.257941246032715,-4.700244903564453,2.1454341411590576,3.0970895290374756,-4.840545177459717,13.042901039123535,-1.2481048107147217,2.382244110107422,2.2131996154785156,-1.8102034330368042,-4.881344318389893,1.9133422374725342,-6.796442985534668,-0.20493938028812408,0
